train,type,station_no,station,arrival_s,departure_s,arrival,departure,dwell_s,served
T01,小交路,4,站4,405.0,425.0,07:06:45,07:07:05,20,Y
T01,小交路,5,站5,530.0,550.0,07:08:50,07:09:10,20,Y
T01,小交路,6,站6,690.0,710.0,07:11:30,07:11:50,20,Y
T01,小交路,7,站7,835.0,855.4,07:13:55,07:14:15,20.4,Y
T01,小交路,8,站8,970.4,990.4,07:16:10,07:16:30,20,Y
T01,小交路,9,站9,1125.4,1145.4,07:18:45,07:19:05,20,Y
T01,小交路,10,站10,1250.4,1270.4,07:20:50,07:21:10,20,Y
T02,大交路,1,站1,144.0,164.0,07:02:24,07:02:44,20,Y
T02,大交路,2,站2,279.0,299.0,07:04:39,07:04:59,20,Y
T02,大交路,3,站3,399.0,419.0,07:06:39,07:06:59,20,Y
T02,大交路,4,站4,549.0,569.0,07:09:09,07:09:29,20,Y
T02,大交路,5,站5,674.0,694.0,07:11:14,07:11:34,20,Y
T02,大交路,6,站6,834.0,854.0,07:13:54,07:14:14,20,Y
T02,大交路,7,站7,979.0,999.4,07:16:19,07:16:39,20.4,Y
T02,大交路,8,站8,1114.4,1134.4,07:18:34,07:18:54,20,Y
T02,大交路,9,站9,1269.4,1289.4,07:21:09,07:21:29,20,Y
T02,大交路,10,站10,1394.4,1414.4,07:23:14,07:23:34,20,Y
T02,大交路,11,站11,1534.4,1554.4,07:25:34,07:25:54,20,Y
T02,大交路,12,站12,1654.4,1674.4,07:27:34,07:27:54,20,Y
T03,小交路,4,站4,693.0,713.0,07:11:33,07:11:53,20,Y
T03,小交路,5,站5,818.0,838.0,07:13:38,07:13:58,20,Y
T03,小交路,6,站6,978.0,998.0,07:16:18,07:16:38,20,Y
T03,小交路,7,站7,1123.0,1143.4,07:18:43,07:19:03,20.4,Y
T03,小交路,8,站8,1258.4,1278.4,07:20:58,07:21:18,20,Y
T03,小交路,9,站9,1413.4,1433.4,07:23:33,07:23:53,20,Y
T03,小交路,10,站10,1538.4,1558.4,07:25:38,07:25:58,20,Y
T04,大交路,1,站1,432.0,452.0,07:07:12,07:07:32,20,Y
T04,大交路,2,站2,567.0,587.0,07:09:27,07:09:47,20,Y
T04,大交路,3,站3,687.0,707.0,07:11:27,07:11:47,20,Y
T04,大交路,4,站4,837.0,857.0,07:13:57,07:14:17,20,Y
T04,大交路,5,站5,962.0,982.0,07:16:02,07:16:22,20,Y
T04,大交路,6,站6,1122.0,1142.0,07:18:42,07:19:02,20,Y
T04,大交路,7,站7,1267.0,1287.4,07:21:07,07:21:27,20.4,Y
T04,大交路,8,站8,1402.4,1422.4,07:23:22,07:23:42,20,Y
T04,大交路,9,站9,1557.4,1577.4,07:25:57,07:26:17,20,Y
T04,大交路,10,站10,1682.4,1702.4,07:28:02,07:28:22,20,Y
T04,大交路,11,站11,1822.4,1842.4,07:30:22,07:30:42,20,Y
T04,大交路,12,站12,1942.4,1962.4,07:32:22,07:32:42,20,Y
T05,小交路,4,站4,981.0,1001.0,07:16:21,07:16:41,20,Y
T05,小交路,5,站5,1106.0,1126.0,07:18:26,07:18:46,20,Y
T05,小交路,6,站6,1266.0,1286.0,07:21:06,07:21:26,20,Y
