rank,small_start,small_end,n_big,n_small,total_trains,headway_s,big_headway_s,train_km,fixed_cost,variable_cost,fleet_cost,raw_cost,service_score,crowding,norm_cost,norm_service,score
1,4,10,12,13,25,144.0,300.0,521.6,450.0,1356.2,875.0,2681.2,186.1,0.713,0.4975,0.2998,0.4026
2,4,10,12,12,24,150.0,300.0,506.4,432.0,1316.6,840.0,2588.6,193.9,0.743,0.4332,0.3752,0.4054
3,4,10,11,11,22,163.6,327.3,464.2,396.0,1206.9,770.0,2372.9,211.5,0.811,0.2834,0.5455,0.4092
4,4,10,13,13,26,138.5,276.9,548.6,468.0,1426.4,910.0,2804.4,179.0,0.686,0.583,0.2311,0.4141
5,4,10,13,14,27,133.3,276.9,563.8,486.0,1465.9,945.0,2896.9,172.3,0.66,0.6473,0.1663,0.4164
6,5,9,16,8,24,150.0,225.0,518.4,432.0,1347.8,840.0,2619.8,193.9,0.743,0.4548,0.3752,0.4166
7,5,9,14,7,21,171.4,257.1,453.6,378.0,1179.4,735.0,2292.4,221.6,0.849,0.2274,0.6431,0.4269
8,4,10,14,13,27,133.3,257.1,575.6,486.0,1496.6,945.0,2927.6,172.3,0.66,0.6686,0.1663,0.4275
9,4,10,10,10,20,180.0,360.0,422.0,360.0,1097.2,700.0,2157.2,232.7,0.892,0.1336,0.7505,0.4297
10,4,10,14,14,28,128.6,257.1,590.8,504.0,1536.1,980.0,3020.1,166.2,0.637,0.7328,0.1074,0.4326
11,4,9,16,8,24,150.0,225.0,536.0,432.0,1393.6,840.0,2665.6,193.9,0.743,0.4866,0.3752,0.4331
12,5,10,16,8,24,150.0,225.0,536.0,432.0,1393.6,840.0,2665.6,193.9,0.743,0.4866,0.3752,0.4331
13,5,9,18,9,27,133.3,200.0,583.2,486.0,1516.3,945.0,2947.3,172.3,0.66,0.6823,0.1663,0.4346
14,4,10,14,15,29,124.1,257.1,606.0,522.0,1575.6,1015.0,3112.6,160.5,0.615,0.7971,0.0522,0.4395
15,4,9,14,7,21,171.4,257.1,469.0,378.0,1219.4,735.0,2332.4,221.6,0.849,0.2552,0.6431,0.4414
16,5,10,14,7,21,171.4,257.1,469.0,378.0,1219.4,735.0,2332.4,221.6,0.849,0.2552,0.6431,0.4414
17,5,9,18,6,24,150.0,200.0,550.8,432.0,1432.1,840.0,2704.1,193.9,0.743,0.5134,0.3752,0.4471
18,4,10,16,8,24,150.0,225.0,553.6,432.0,1439.4,840.0,2711.4,193.9,0.743,0.5184,0.3752,0.4497
19,4,10,15,14,29,124.1,240.0,617.8,522.0,1606.3,1015.0,3143.3,160.5,0.615,0.8184,0.0522,0.4506
20,5,11,16,8,24,150.0,225.0,556.8,432.0,1447.7,840.0,2719.7,193.9,0.743,0.5242,0.3752,0.4527
21,4,9,18,9,27,133.3,200.0,603.0,486.0,1567.8,945.0,2998.8,172.3,0.66,0.718,0.1663,0.4532
22,5,10,18,9,27,133.3,200.0,603.0,486.0,1567.8,945.0,2998.8,172.3,0.66,0.718,0.1663,0.4532
23,3,9,16,8,24,150.0,225.0,558.4,432.0,1451.8,840.0,2723.8,193.9,0.743,0.5271,0.3752,0.4542
24,6,9,18,6,24,150.0,200.0,532.8,432.0,1385.3,840.0,2657.3,199.4,0.778,0.4809,0.4284,0.4557
25,4,10,14,7,21,171.4,257.1,484.4,378.0,1259.4,735.0,2372.4,221.6,0.849,0.283,0.6431,0.4558
26,5,11,14,7,21,171.4,257.1,487.2,378.0,1266.7,735.0,2379.7,221.6,0.849,0.2881,0.6431,0.4585
27,4,10,15,15,30,120.0,240.0,633.0,540.0,1645.8,1050.0,3235.8,155.1,0.594,0.8826,0.0,0.459
28,4,9,18,6,24,150.0,200.0,564.0,432.0,1466.4,840.0,2738.4,193.9,0.743,0.5372,0.3752,0.4594
29,5,10,18,6,24,150.0,200.0,564.0,432.0,1466.4,840.0,2738.4,193.9,0.743,0.5372,0.3752,0.4594
30,3,9,14,7,21,171.4,257.1,488.6,378.0,1270.4,735.0,2383.4,221.6,0.849,0.2906,0.6431,0.4598
