station,prev_train,next_train,gap_s,tracking_min_s,status
站4,T01,T02,144.0,105,Pass
站4,T02,T03,144.0,105,Pass
站4,T03,T04,144.0,105,Pass
站4,T04,T05,144.0,105,Pass
站4,T05,T06,144.0,105,Pass
站4,T06,T07,144.0,105,Pass
站4,T07,T08,144.0,105,Pass
站4,T08,T09,144.0,105,Pass
站4,T09,T10,144.0,105,Pass
站4,T10,T11,144.0,105,Pass
站4,T11,T12,144.0,105,Pass
站4,T12,T13,144.0,105,Pass
站4,T13,T14,144.0,105,Pass
站4,T14,T15,144.0,105,Pass
站4,T15,T16,144.0,105,Pass
站4,T16,T17,144.0,105,Pass
站4,T17,T18,144.0,105,Pass
站4,T18,T19,144.0,105,Pass
站4,T19,T20,144.0,105,Pass
站4,T20,T21,144.0,105,Pass
站4,T21,T22,144.0,105,Pass
站4,T22,T23,144.0,105,Pass
站4,T23,T24,144.0,105,Pass
站4,T24,T25,144.0,105,Pass
站5,T01,T02,144.0,105,Pass
站5,T02,T03,144.0,105,Pass
站5,T03,T04,144.0,105,Pass
站5,T04,T05,144.0,105,Pass
站5,T05,T06,144.0,105,Pass
站5,T06,T07,144.0,105,Pass
站5,T07,T08,144.0,105,Pass
站5,T08,T09,144.0,105,Pass
站5,T09,T10,144.0,105,Pass
站5,T10,T11,144.0,105,Pass
站5,T11,T12,144.0,105,Pass
站5,T12,T13,144.0,105,Pass
站5,T13,T14,144.0,105,Pass
站5,T14,T15,144.0,105,Pass
站5,T15,T16,144.0,105,Pass
站5,T16,T17,144.0,105,Pass
站5,T17,T18,144.0,105,Pass
站5,T18,T19,144.0,105,Pass
站5,T19,T20,144.0,105,Pass
站5,T20,T21,144.0,105,Pass
站5,T21,T22,144.0,105,Pass
站5,T22,T23,144.0,105,Pass
站5,T23,T24,144.0,105,Pass
站5,T24,T25,144.0,105,Pass
站6,T01,T02,144.0,105,Pass
站6,T02,T03,144.0,105,Pass
站6,T03,T04,144.0,105,Pass
站6,T04,T05,144.0,105,Pass
站6,T05,T06,144.0,105,Pass
站6,T06,T07,144.0,105,Pass
站6,T07,T08,144.0,105,Pass
站6,T08,T09,144.0,105,Pass
站6,T09,T10,144.0,105,Pass
站6,T10,T11,144.0,105,Pass
站6,T11,T12,144.0,105,Pass
站6,T12,T13,144.0,105,Pass
站6,T13,T14,144.0,105,Pass
站6,T14,T15,144.0,105,Pass
站6,T15,T16,144.0,105,Pass
站6,T16,T17,144.0,105,Pass
站6,T17,T18,144.0,105,Pass
站6,T18,T19,144.0,105,Pass
站6,T19,T20,144.0,105,Pass
站6,T20,T21,144.0,105,Pass
站6,T21,T22,144.0,105,Pass
站6,T22,T23,144.0,105,Pass
站6,T23,T24,144.0,105,Pass
站6,T24,T25,144.0,105,Pass
站7,T01,T02,144.0,105,Pass
站7,T02,T03,144.0,105,Pass
站7,T03,T04,144.0,105,Pass
站7,T04,T05,144.0,105,Pass
站7,T05,T06,144.0,105,Pass
站7,T06,T07,144.0,105,Pass
站7,T07,T08,144.0,105,Pass
站7,T08,T09,144.0,105,Pass
站7,T09,T10,144.0,105,Pass
站7,T10,T11,144.0,105,Pass
站7,T11,T12,144.0,105,Pass
站7,T12,T13,144.0,105,Pass
站7,T13,T14,144.0,105,Pass
站7,T14,T15,144.0,105,Pass
站7,T15,T16,144.0,105,Pass
站7,T16,T17,144.0,105,Pass
站7,T17,T18,144.0,105,Pass
站7,T18,T19,144.0,105,Pass
站7,T19,T20,144.0,105,Pass
站7,T20,T21,144.0,105,Pass
站7,T21,T22,144.0,105,Pass
站7,T22,T23,144.0,105,Pass
站7,T23,T24,144.0,105,Pass
站7,T24,T25,144.0,105,Pass
站8,T01,T02,144.0,105,Pass
站8,T02,T03,144.0,105,Pass
站8,T03,T04,144.0,105,Pass
站8,T04,T05,144.0,105,Pass
站8,T05,T06,144.0,105,Pass
站8,T06,T07,144.0,105,Pass
站8,T07,T08,144.0,105,Pass
站8,T08,T09,144.0,105,Pass
站8,T09,T10,144.0,105,Pass
站8,T10,T11,144.0,105,Pass
站8,T11,T12,144.0,105,Pass
站8,T12,T13,144.0,105,Pass
站8,T13,T14,144.0,105,Pass
